ticket_id;objet;question_a_poser;reponse_historique
1062;Mouvements Ajustement;Pouvez-vous m'envoyer l'état par mail ?;"Bonjour ,
Merci de m'envoyer l'état par mail"
1067;"Etat de sortie ""Liste des Sorties""";Pouvez-vous me préciser le nom de l'état ?;veuillez me préciser le nom de l'état
1137;Etat relevé des emoluments;Pouvez-vous preciser : on a bien reçu votre préoccupation on vous, réglera cette anomalies dans la prochaine version, entre temp merci de nous envoyer une copie sur la base de données afin de faire des testes salutations ?;"Bonjour
on a bien reçu votre préoccupation on vous, réglera cette anomalies dans la prochaine version, entre temp merci de nous envoyer une copie sur la base de données afin de faire des testes  
salutations"
1148;Importation données;Pouvez-vous nous envoyer votre numéro téléphone et mail pour vous repondre ?;merci de nous envoyer votre numéro téléphone et mail pour vous repondre
1151;Volet facturation.;Pouvez-vous nous donner un accès distant ( Anydesk ) pour voir les anomalies à votre niveau, un numéro de téléphone pour vous joindre : ou nous envoyer la base en question ?;Merci de nous donner un accès distant ( Anydesk ) pour voir les anomalies à votre niveau, un numéro de téléphone pour vous joindre : ou  nous envoyer la base en question.
1158;A/S intervention sur big-finance;Pouvez-vous nous expliquer votre problème sur les immobilisations ?;merci de nous expliquer votre problème sur les immobilisations
1168;A / S : Interface BIG Finance Ain Temouchent;Pouvez-vous m'envoyer l'accès Anydesk a fin de voir le problème de pré ?;Merci de m'envoyer l'accès Anydesk a fin de voir le problème de pré .
1170;configuration des paramètres ;Pouvez-vous nous appeler sur ce num 0770327785 ?;merci de nous appeler sur ce num 0770327785
1253;Erreur d'affichage dans l'interrogation des écritures,;Pouvez-vous preciser : SALAM MERCI DE m'envoyer le numéro de version ?;"SALAM 

MERCI DE m'envoyer le numéro de version"
1275;Ergonomie ;Pouvez-vous nous envoyer l'état a rectifier ?;merci de nous envoyer l'état a rectifier .
1314;Lenteur du système ;Pouvez-vous nous envoyer la base de données afin de tester cette lenteur a notre niveau , Slts ?;"Bonjour ,
Merci de nous envoyer la base de données afin de tester cette lenteur a notre niveau ,
Slts"
1377;A/S BIG SOFT;"Pouvez-vous preciser : 5- le mode de règlement, lors de l'enregistrement de la facture n'est pas accepté pour ""au comptant"", veuillez nous préciser ?";"1- Le montant TTC et le net à payer de la facture n°CS0001 du 17/01/2021 (jointe en attachement) ne sont pas identiques, ça se règle par l'application comme discuté au téléphone.
2- la date de versement et la référence ne s'affichent pas, état rectifier.
3- lors de la saisie de la référence, le numéro alphanumérique n'est pas accepté,(en développement).
4- La liste nature(recette/dépense) vide voir masque de saisie facture,si vue sur le masque est vide veuillez donner les permissions au groupe pour cette fonction.
5- le mode de règlement, lors de l'enregistrement de la facture n'est pas accepté pour ""au comptant"", veuillez nous préciser.
6- lors de l'enregistrement du BL (Bon de Livraison) il y'a un masque d'erreur qui apparait (voir le masque en pièce jointe.
Merci pour votre intervention. à voir ."
1382;AS\Prêt social;Pouvez-vous preciser : le volet prêt n'est pas limité , si vous avez besoin d'assistance merci de nous donner accès via ANY DESK ?;bonjour , le volet prêt n'est pas limité , si vous avez besoin d'assistance merci de nous donner accès via ANY DESK
1561;message d'erreur;Pouvez-vous nous envoyer les messages d'erreurs ?;"Bonjour, 
Merci de nous envoyer les messages d'erreurs ."
1786;PB_Balance;Pouvez-vous nous envoyer une sauvegarde de la bdd sur l'adresse belghomari.meryem@gmail.com ?;merci de nous envoyer une sauvegarde de la bdd sur l'adresse belghomari.meryem@gmail.com
1860;débridage de licence bigGestion;Pouvez-vous preciser : Mr , Merci de nous envoyer le fichier en pdf ?;"Bonjour Mr ,
Merci de nous envoyer le fichier en pdf"
2296;demande d'intervention ;Pouvez-vous nous appeler sur le numero de notre direction, car le numero que vous avez donné est incorrecte ?;Bonjour, merci de nous appeler sur le numero de notre direction, car le numero que vous avez donné est incorrecte
2365;Réouverture Big Gestion;Pouvez-vous e préciser de quelle unité il s'agit et un numéro de téléphone joignable ?;Merci de préciser de quelle unité il s'agit et un numéro de téléphone joignable
2461;Anomalies BIGPaie;Pouvez-vous preciser : Mr Merci de nous communiquer votre numéro de téléphone a fin de pouvoir vos contacter Salutation ?;"Bonjour Mr 
Merci de nous communiquer votre numéro de téléphone a fin de pouvoir vos contacter 
Salutation"
2557;changer l'unite Centrale de serveur BIg Gestion;Pouvez-vous m'’envoyer un numéro de téléphone afin de vous contacter et vous appeler ?;Merci de m’envoyer un numéro de téléphone afin de vous contacter et vous appeler
2697;BIGPAIE;Pouvez-vous e vérifier la configuration pour que je puisse travailler sans coupure ?;La connexion VPN se coupe au bout d’environ une minute ce qui m’empêche d’intervenir. Merci de vérifier la configuration pour que je puisse travailler sans coupure
2719;Problème état d’impression ;Pouvez-vous preciser : c'est quoi le probleme exact?;c'est quoi le probleme exact?
2804;probleme regénération des stocks;Pouvez-vous nous communiquer plus de détail concernant ce problème ?;Merci de nous communiquer plus de détail concernant ce problème
2753;Option récapitulatif Base AMK;Pouvez-vous preciser : numéro injoignable , merci de nous envoyer un numéro joignable ou me contacter au 0770539855 ?;numéro injoignable , merci de nous envoyer un numéro joignable ou me contacter au 0770539855
2786;Probléme Big paie 0664392485;Pouvez-vous nous envoyer votre numéro de téléphone pour vous contacter ?;merci de nous envoyer votre numéro de téléphone pour vous contacter
2841;Afficher REF-OT;Pouvez-vous nous communiquer plus de détail ?;Merci de nous communiquer plus de détail
2883;Signalement d'erreur sur l'application BIGFINNANCE lors de chargement des données;Pouvez-vous preciser : Afin de nous permettre d’investiguer et de résoudre le problème efficacement, pourriez-vous nous préciser la nature exacte des erreurs rencontrées, ainsi que les étapes pour les reproduire ?;"Salam
Merci de nous avoir signalé que les dysfonctionnements persistent après la mise à jour du 26 novembre.
Afin de nous permettre d’investiguer et de résoudre le problème efficacement, pourriez-vous nous préciser la nature exacte des erreurs rencontrées, ainsi que les étapes pour les reproduire ?
Notre équipe technique pourra intervenir à partir de mercredi 10 décembre 2025. Vous pouvez nous contacter au 07 70 32 77 85 à partir de 9h00.
Nous restons à votre service pour toute information complémentaire"
3023;PROBLEME BIG GESTION ;Pouvez-vous nous donner plus de détail concernant le problème ?;Merci de nous donner plus de détail concernant le problème
3034;Logiciel de gestion de stock;Pouvez-vous preciser : Suite a notre communication téléphonique merci de nous donner un accès a distance pour pouvoir vérifier le problème signalé ?;Suite a notre communication téléphonique merci de nous donner un accès a distance pour pouvoir vérifier le problème signalé
